mae,rmse,mape,r2,model,test_cell,n_train,n_test,feature_set
0.0029987129477142362,0.0032739136422704337,0.32516905809426344,0.9831921485257764,RandomForest,F,60,12,soh_only
0.0032362246013483884,0.0035613218183917572,0.3515317256096369,0.9801115836388458,GradientBoosting,F,60,12,soh_only
0.002519283713250322,0.0028263916282350874,0.2691835122394863,0.9840611665407916,LinearRegression,A,60,12,soh_with_delta
0.0024481800573276833,0.002721496201474087,0.26148996223603116,0.9852222838053726,Ridge,A,60,12,soh_with_delta
0.0017742144596680869,0.0021850082547488553,0.19092515367961593,0.9904742754132128,RandomForest,A,60,12,soh_with_delta
0.0019961095020371578,0.0023749734813128974,0.2135937871057148,0.9887459358562992,GradientBoosting,A,60,12,soh_with_delta
0.002237790387303512,0.0027368937555905326,0.24338663427811405,0.9897051297359891,LinearRegression,B,60,12,soh_with_delta
0.0022896244666470076,0.002916267817714765,0.24968642295099286,0.9883114722814262,Ridge,B,60,12,soh_with_delta
0.0026643343728040467,0.0030256625442801805,0.28666504928005554,0.987418107257685,RandomForest,B,60,12,soh_with_delta
0.0029275467153864567,0.003261358275640131,0.3163723171225643,0.985381526592766,GradientBoosting,B,60,12,soh_with_delta
0.0036871220823360604,0.003994309168656659,0.3923209280838289,0.9547428235956308,LinearRegression,C,60,12,soh_with_delta
0.003766025966651062,0.004085021788477542,0.40039987146149175,0.952663858447704,Ridge,C,60,12,soh_with_delta
0.002616720432815365,0.0031280369747350946,0.2789766383489544,0.9722445766271796,RandomForest,C,60,12,soh_with_delta
0.00263458323510062,0.003103675440171282,0.2808957736669935,0.9726752183904025,GradientBoosting,C,60,12,soh_with_delta
0.0025798808661563664,0.0034595190705106137,0.27171583073182104,0.977387877015676,LinearRegression,D,60,12,soh_with_delta
0.0026218388864643984,0.0036192067447478214,0.276101178262328,0.9752521960971139,Ridge,D,60,12,soh_with_delta
0.0019194781184092107,0.0022266717506070574,0.20317033288213557,0.99063253067584,RandomForest,D,60,12,soh_with_delta
0.0018195544230161047,0.002168408838785151,0.19356073370064142,0.9911163340683852,GradientBoosting,D,60,12,soh_with_delta
0.002088407615223988,0.003312467497634199,0.2228719865098277,0.9791206059263081,LinearRegression,E,60,12,soh_with_delta
0.002132841237212172,0.0032258685753808604,0.22841043005475542,0.9801980490822358,Ridge,E,60,12,soh_with_delta
0.0018509137398796856,0.0022936482518911496,0.1999821939385303,0.9899892118083453,RandomForest,E,60,12,soh_with_delta
0.0022851313126426944,0.0026538250455597633,0.24694413512372873,0.9865983208330854,GradientBoosting,E,60,12,soh_with_delta
0.003264670956524061,0.003902071615121215,0.3512266159896733,0.9761236336443252,LinearRegression,F,60,12,soh_with_delta
0.0034234052972335247,0.003945550336933745,0.3696096904592356,0.9755885858180096,Ridge,F,60,12,soh_with_delta
0.0031209511027522527,0.003329349577970001,0.3385678224945156,0.9826181275609176,RandomForest,F,60,12,soh_with_delta
0.0028586492368896563,0.0031634430661446225,0.3106313391847309,0.9843072951048338,GradientBoosting,F,60,12,soh_with_delta
0.002979011196854592,0.0034085664095197207,0.3192063648015365,0.9768188286927936,LinearRegression,A,60,12,state_only
0.0022420788735936503,0.002545650600719237,0.2392914827996563,0.9870702702759627,Ridge,A,60,12,state_only
0.0017241377854243234,0.0023489285837080295,0.18497399574238035,0.9889914154503393,RandomForest,A,60,12,state_only
0.0020950754855169804,0.0026419806847604982,0.2233211262674338,0.9860732065957116,GradientBoosting,A,60,12,state_only
0.00213811070493237,0.0026077477232095744,0.232642502156027,0.9906537767558935,LinearRegression,B,60,12,state_only
0.0024790693863633675,0.00310524596409666,0.26981958785493243,0.9867475244215723,Ridge,B,60,12,state_only
0.0029646694999393894,0.003254763195694957,0.3190040285663488,0.9854405894206298,RandomForest,B,60,12,state_only
0.0029307513027563847,0.0033469626502279056,0.3161564092340265,0.9846040414742063,GradientBoosting,B,60,12,state_only
0.003595325818041145,0.0038908750680562844,0.38244658399376813,0.9570563778469205,LinearRegression,C,60,12,state_only
0.0040265860274906655,0.004347178729054134,0.4283374122022183,0.9463932976069475,Ridge,C,60,12,state_only
0.0030633654305392277,0.0036443720653721178,0.3268490162984028,0.962325324660189,RandomForest,C,60,12,state_only
0.0030071984433189627,0.003714008196611723,0.32001380008264585,0.9608718048246294,GradientBoosting,C,60,12,state_only
0.0027192197364885504,0.0035798769812945145,0.28592685856434713,0.9757871402436621,LinearRegression,D,60,12,state_only
0.0034449202387237254,0.004354907021115809,0.3635019010533039,0.9641682800540107,Ridge,D,60,12,state_only
0.0028015447717527155,0.0032067323229440503,0.2968094301977493,0.9805716776910958,RandomForest,D,60,12,state_only
0.00286895408551451,0.0032426180659817973,0.3048530320168323,0.9801344095901046,GradientBoosting,D,60,12,state_only
0.002051340506371818,0.0032042420867622583,0.2187749514217874,0.9804626669088552,LinearRegression,E,60,12,state_only
0.0027098463971076403,0.003858204860810366,0.29059832387064966,0.971674002816885,Ridge,E,60,12,state_only
0.002674985114337336,0.00316937910969758,0.28831993370855136,0.9808854964857906,RandomForest,E,60,12,state_only
